mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
500743,12,10,26,0.2,0,0.0,1,8.33,0.333,0.3,0.633,0.09999999999999998,13,0,0.0,0.0,2,7.69,7.69,35.0,
642578,9,8,26,0.375,1,11.11,0,0.0,0.375,0.625,1.0,0.25,14,3,21.43,11.54,6,23.08,34.62,41.67,12.5
676083,10,10,26,0.3,1,10.0,0,0.0,0.3,0.7,1.0,0.39999999999999997,18,1,5.56,3.85,3,11.54,15.38,44.44,20.0
670955,5,3,26,0.0,1,20.0,1,20.0,0.4,0.0,0.4,0.0,12,5,41.67,19.23,2,7.69,26.92,18.75,12.5
663455,5,4,25,0.25,2,40.0,1,20.0,0.4,0.25,0.65,0.0,10,3,30.0,12.0,5,20.0,32.0,21.43,28.57
670032,7,7,25,0.571,0,0.0,0,0.0,0.571,1.0,1.571,0.42900000000000005,10,1,10.0,4.0,6,24.0,28.0,26.67,0.0
607054,9,9,24,0.333,1,11.11,0,0.0,0.333,0.778,1.111,0.445,11,0,0.0,0.0,7,29.17,29.17,36.36,16.67
542208,6,6,24,0.5,0,0.0,0,0.0,0.5,1.167,1.667,0.667,9,0,0.0,0.0,5,20.83,20.83,23.08,0.0
595978,9,8,24,0.25,0,0.0,0,0.0,0.333,0.25,0.583,0.0,13,0,0.0,0.0,3,12.5,12.5,22.22,0.0
621219,6,5,24,0.6,0,0.0,1,16.67,0.667,1.2,1.867,0.6,12,3,25.0,12.5,3,12.5,25.0,40.0,0.0
605612,8,7,23,0.429,0,0.0,0,0.0,0.5,0.429,0.929,0.0,12,3,25.0,13.04,3,13.04,26.09,16.67,0.0
670042,12,12,23,0.5,1,8.33,0,0.0,0.5,1.167,1.667,0.667,13,1,7.69,4.35,5,21.74,26.09,33.33,25.0
543281,10,8,23,0.625,0,0.0,0,0.0,0.5,0.625,1.125,0.0,14,0,0.0,0.0,1,4.35,4.35,30.0,0.0
629498,5,0,23,,0,0.0,4,80.0,0.8,,,,3,0,0.0,0.0,3,13.04,13.04,5.88,0.0
650489,7,6,23,0.333,0,0.0,1,14.29,0.429,0.333,0.762,0.0,9,0,0.0,0.0,3,13.04,13.04,25.0,0.0
670712,5,4,22,0.25,0,0.0,1,20.0,0.4,1.0,1.4,0.75,11,1,9.09,4.55,1,4.55,9.09,26.67,0.0
620454,5,2,22,1.0,0,0.0,2,40.0,0.8,2.0,2.8,1.0,5,0,0.0,0.0,3,13.64,13.64,7.14,0.0
657272,6,4,22,0.75,0,0.0,1,16.67,0.667,1.25,1.917,0.5,7,1,14.29,4.55,4,18.18,22.73,0.0,0.0
668942,7,6,21,0.667,0,0.0,1,14.29,0.714,0.833,1.547,0.16599999999999993,9,1,11.11,4.76,3,14.29,19.05,18.18,0.0
666207,5,2,20,0.5,0,0.0,3,60.0,0.8,1.0,1.8,0.5,4,0,0.0,0.0,2,10.0,10.0,0.0,0.0
500871,9,7,20,0.143,0,0.0,1,11.11,0.222,0.143,0.365,0.0,9,1,11.11,5.0,1,5.0,10.0,33.33,
